validation_loss,test_loss,validation_regret_full,test_regret_full,subepoch,time,training_relaxation,validation_relaxation,hyperparams,total_time
4985.32763671875,5322.49169921875,22249.5564249994,14425.6928784945,2658,15252.7159576416,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4955.3359375,5302.22216796875,21988.0278478339,14953.7801121809,2708,15551.1038460732,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4965.0791015625,5309.62353515625,21952.0922177986,14425.6928784945,2758,15847.5675222874,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4947.0341796875,5292.078125,25439.8391901208,14953.7801121809,2810,16146.4326088429,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4855.95703125,5234.88916015625,22235.57804595,15558.7807820328,2860,16420.1812465191,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4889.974609375,5255.9013671875,25439.8391901208,15533.5404319004,2910,16689.9704067707,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4882.94140625,5259.9404296875,25439.8391901208,14953.7801121809,2960,16979.2119846344,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4942.498046875,5305.25390625,22838.3258103468,14425.6928784945,3010,17238.7126898766,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4960.44287109375,5317.02392578125,22798.0676645185,14659.846597241,3060,17512.9445235729,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4962.615234375,5311.54345703125,22838.3258103468,14953.7801121809,3110,17796.5166261196,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5002.35009765625,5339.59423828125,22798.0676645185,14659.8457429886,3160,18070.8139550686,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5001.47216796875,5334.908203125,22838.3258103468,14814.0003017425,3210,18341.4371192455,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5051.4306640625,5357.67578125,22249.5564249994,14425.6928784945,3260,18629.1304564476,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5031.51708984375,5346.8193359375,22249.5564249994,14425.6928784945,3310,18892.7064330578,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5046.3466796875,5363.03662109375,22838.3258103468,14425.6928784945,3362,19205.864495039,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5076.5546875,5381.07275390625,22838.3258103468,14425.6928784945,3412,19479.1049535275,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4999.49755859375,5339.41552734375,22798.0676645185,14659.8457429886,3462,19736.7317242622,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5019.99755859375,5348.94140625,22798.0676645185,14659.8457429886,3512,20006.0656781197,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5056.90771484375,5369.94482421875,22798.0676645185,14659.7083584953,3562,20271.723829031,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5081.98486328125,5388.78955078125,23088.1430319787,14659.8457429886,3612,20536.0783741474,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5049.458984375,5366.88525390625,22798.0676645185,14659.8457429886,3662,20828.0359730721,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5039.2705078125,5356.74658203125,22838.3258103468,14814.0003017425,3712,21107.2242081165,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5018.259765625,5341.30322265625,22249.5564249994,14814.0003017425,3762,21423.3250176907,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
5001.8515625,5321.4599609375,25439.8391901208,14953.7801121809,3812,21693.4322526455,FALSE,FALSE,{'lr': 1e-05},54306.9630765915
4272.43212890625,5191.818359375,30287.027835223,18435.7623425485,50,1938.11443328857,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4471.3115234375,5198.568359375,32721.6296239849,17388.6644136803,100,2184.63013887405,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4611.07568359375,5215.92578125,32511.6622001741,16160.8348216244,150,2437.19499754906,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
4716.52490234375,5265.25830078125,31320.7003475903,15151.1836144542,200,2709.24275708199,FALSE,FALSE,{'lr': 1e-05},53759.7833032608
