subepoch,Runtime,time,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,hyperparams,total_time,validation_relax
151,12.187932252883911,132.39474773406982,0.0,3926.953153216416,-1662870683648.0,0.0,5065.669347876965,-2879630868480.0,{'lr': 0.01},511.23825335502625,True
201,15.944883584976196,175.0115349292755,0.0,3882.1562464847552,-1982603788288.0,0.0,5058.1514398698055,-3077242617856.0,{'lr': 0.01},511.23825335502625,True
251,19.90907096862793,217.5965781211853,0.0,3830.9145673743114,-2848651608064.0,0.0,5017.635462384729,-3579412742144.0,{'lr': 0.01},511.23825335502625,True
301,24.02438473701477,260.74982500076294,0.0,3775.6239387973956,-3310360723456.0,0.0,4920.993008249627,-4450651996160.0,{'lr': 0.01},511.23825335502625,True
351,28.108229637145996,303.8303346633911,0.0,3702.5132187054287,-4041766338560.0,0.0,4716.911932789048,-6526863933440.0,{'lr': 0.01},511.23825335502625,True
401,32.333574533462524,347.502671957016,0.0,3693.447931545365,-4184332566528.0,0.0,4475.408920876669,-8843865096192.0,{'lr': 0.01},511.23825335502625,True
451,37.02046751976013,393.5205919742584,0.0,3670.8015035272106,-4940418514944.0,0.0,4327.408104469009,-10491671871488.0,{'lr': 0.01},511.23825335502625,True
501,41.60952091217041,438.5965304374695,0.0,3610.787355719637,-6041504055296.0,0.0,4341.257238620648,-11017409003520.0,{'lr': 0.01},511.23825335502625,True
551,46.225741386413574,484.32295274734497,0.0,3545.069226760802,-6612401520640.0,0.0,4325.454535244159,-11189535899648.0,{'lr': 0.01},511.23825335502625,True
1,0.027032852172851562,2.7031030654907227,0.0,4038.8328112917443,-23244880640.0,0.0,5328.300678878357,-18546358272.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
51,3.528480052947998,43.47350358963013,0.0,4007.0124554700205,-388934172672.0,0.0,5124.1986089529255,-1919288475648.0,"{'optimizer': <class 'torch.optim.adam.Adam'>, 'lr': 0.01}",514.1858909130096,True
