instance,optimal_value,model
11,6946574.743061192,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
12,7485957.964910337,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
13,8074086.16595795,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
14,8933726.503161326,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
15,7803013.132484143,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
16,7030359.114980275,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
17,8079667.32744176,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
18,8113094.102234224,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
19,7566862.9997559395,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
20,8920662.87085425,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
21,10129145.488018174,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
22,7059201.852415181,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
23,7449559.930274844,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
24,7164955.343064054,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
25,6123669.864611354,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
26,7113012.200341867,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
27,9113431.021002095,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
28,7326135.672637807,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
29,8803140.65582884,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
30,8312002.158751286,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
31,7344837.513616556,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
32,7389181.723178281,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
33,7285351.718791038,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
34,7955694.937991326,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
35,10904142.169130165,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
36,9248561.456805006,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
37,7541145.149187125,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
38,6964648.33711034,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
39,8014509.144071522,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
40,6947819.927131794,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
41,9799966.95326995,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
42,8908801.513785843,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
43,8062210.997849414,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
44,7059178.144060448,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
45,9147973.327342857,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
46,6464270.44686199,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
47,6766918.75302992,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
48,7073619.770613874,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
49,8034482.03592939,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
50,7549178.13475595,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
51,7024757.162486013,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
52,6918715.643878067,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
53,7234824.122899568,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
54,6042714.097204584,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
55,5790852.4281245135,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
56,8832154.089771343,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
57,8008806.36791442,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
58,7275813.117331453,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
59,7897896.855704869,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
60,7179825.638485122,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
61,6476628.381329442,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
62,7541212.026253958,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
63,9121639.299284173,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
64,9244464.068776201,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
65,10158804.701533834,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
66,7455141.287500913,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
67,8192513.272161498,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
68,8269082.853426441,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
69,5572515.289250744,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
70,8054771.520655782,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
71,12564772.495602379,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
72,6187835.767516155,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
73,6325759.934552717,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
74,10956597.111862538,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
75,8651987.833078705,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
76,8595056.45771437,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
77,8082017.672758236,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
78,8479618.972282082,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
79,8604159.998540064,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
80,8603049.693530437,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
81,7309259.842299062,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
82,7978416.061750057,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
83,7077716.773916782,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
84,9791588.700189486,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
85,7918022.752343578,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
86,6874565.045160412,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
87,6849813.99267386,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
88,8669924.184047692,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
89,6935434.943637481,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
90,6719369.437810813,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
91,6846834.04346769,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
92,8027869.924033694,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
93,8373566.15834616,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
94,8587428.152490621,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
95,7627249.353640956,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
96,6713532.2118785605,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
97,8500369.75485733,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
98,10490846.977795558,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
99,7512794.20660858,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
100,8056495.328527704,../Results/MSE_pred/MSE-prediction_test_epoch2.npy
