subepoch,validation_regret,validation_mse,validation_loss,test_regret,test_mse,test_loss,time,hyperparams,total time,validation_relax
3363,40047.6929953282,3771.34639439402,-2884294541312,21571.6828,4755.21761391245,-5962345742336,371.20599603653,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3413,40141.3631527373,3768.2828487661,-2923742232576,21571.6828,4750.54134215047,-6034681233408,375.346468925476,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3463,40141.3631527372,3764.77111456101,-2975510167552,21571.6828,4754.72789774476,-6092904988672,379.381932497025,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3513,40047.6929953282,3760.18258228279,-3007439699968,21571.6828,4755.22675120323,-6120335736832,383.749327659607,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3563,39141.452598103,3755.24642682983,-3047507099648,20738.1512499999,4751.5434122886,-6102483206144,388.024793624878,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3613,39141.4525981031,3749.91486756195,-3086700249088,20734.33955,4742.74398205151,-6161704681472,392.006780147552,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3663,39141.452598103,3742.89615023847,-3134438375424,20734.33955,4724.80544600842,-6286547615744,396.550526857376,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3713,39141.452598103,3741.73787838529,-3191392043008,20446.6991,4704.4152843158,-6451403161600,400.835663795471,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3763,39141.4525981031,3739.0506050356,-3241083535360,20446.6991,4691.23943101861,-6589338091520,405.002774000168,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
3813,39141.452598103,3732.70462363507,-3293894148096,20738.1512499999,4693.7078713207,-6670585430016,409.373286247253,{'optimizer': <class 'torch.optim.adam.Adam'>},46093.6404271126,TRUE
